id,nama_tempat,kategori,kota,alamat,deskripsi,lat,long
90,Taman Hutan Raya Ir. H. Djuanda,Alam,Bandung,"Jl. Ir. H. Juanda No.99, Ciburial, Kec. Cimenyan, Kabupaten Bandung","Taman Hutan Raya Ir. H. Djuanda, yang juga dikenal sebagai Taman Hutan Raya Dago Pakar, adalah sebuah taman alam yang luas dan indah yang terletak di Dago, Bandung. Taman ini merupakan salah satu cagar alam terbesar di Jawa Barat dan menawarkan pengalaman yang menenangkan bagi pengunjung yang ingin menjauh sejenak dari hiruk-pikuk perkotaan. Taman Hutan Raya ini memiliki berbagai jalur hiking dan trekking yang memungkinkan pengunjung untuk menjelajahi keindahan alam, termasuk air terjun, sungai, dan berbagai spesies flora dan fauna yang hidup di dalamnya.",-6.8565791,107.6323734
91,Kawah Putih,Alam,Bandung,"Jl. Raya Soreang Ciwidey, Ciwidey, Bandung","Kawah Putih adalah sebuah destinasi wisata alam yang terkenal di Bandung, Jawa Barat. Terletak di dataran tinggi Ciwidey, Kawah Putih adalah sebuah kawah vulkanik yang terbentuk oleh letusan gunung api. Salah satu hal yang membedakan Kawah Putih adalah warna tanah dan airnya yang unik, yang berwarna putih kehijauan karena kandungan belerang. Pengunjung dapat menikmati pemandangan yang menakjubkan dengan latar belakang danau yang dipenuhi dengan air berwarna putih dan hutan hijau yang mengelilinginya. Kawah Putih juga dikelilingi oleh bukit-bukit yang menawarkan jalur hiking untuk para pengunjung yang ingin menjelajahi keindahan alam sekitar.",-7.1662039,107.4021256
92,Tebing Karaton,Alam,Bandung,"Puncak Kordon, RT.2/RW.10, Ciburial, Kec. Cimenyan, Bandung Barat","Tebing Karaton, juga dikenal sebagai Tebing Keraton, adalah sebuah tempat wisata yang menarik yang terletak di daerah Lembang, Bandung. Tebing ini menawarkan pemandangan spektakuler dari ketinggian dengan panorama alam yang menakjubkan. Dari Tebing Karaton, pengunjung dapat menyaksikan hamparan lembah hijau, perkebunan teh yang indah, dan pegunungan yang menjulang",-6.8340683,107.6636151
93,Bukit Moko,Alam,Bandung,"Cimenyan, Kabupaten Bandung","Bukit Moko, terletak di daerah Dago, Bandung, adalah sebuah tempat wisata yang menawarkan pemandangan indah dan udara sejuk pegunungan. Dengan ketinggian sekitar 1.500 meter di atas permukaan laut, Bukit Moko menawarkan panorama yang menakjubkan dari atas dengan latar belakang perbukitan, hutan, dan lembah yang hijau. Pengunjung dapat menikmati pemandangan matahari terbit atau matahari terbenam yang memukau, serta pemandangan Kota Bandung yang luas dari ketinggian. Selain itu, Bukit Moko juga memiliki beberapa spot foto menarik, seperti jembatan gantung dan rumah pohon.",-6.8422202,107.6767988
94,Gunung Manglayang,Alam,Bandung,"Cibiru Wetan, Cileunyi, Bandung","Gunung Manglayang adalah gunung yang terletak di sebelah timur Kota Bandung, Jawa Barat. Dengan ketinggian sekitar 2.278 meter di atas permukaan laut, Gunung Manglayang menawarkan pengalaman pendakian yang menarik bagi para pecinta alam dan pendaki gunung. Gunung ini dikelilingi oleh hutan tropis yang rimbun, dan memiliki berbagai jalur pendakian yang menantang dan memikat. Selama pendakian, pengunjung akan melewati jalur-jalur yang berliku, melintasi sungai, dan menemukan pemandangan alam yang menakjubkan",-6.8761111,107.7436111
95,Curug Dago,Alam,Bandung,"Jl. Dago Pojok, Dago, Kecamatan Coblong, Kota Bandung","Curug Dago, juga dikenal sebagai Curug Maribaya, adalah sebuah air terjun yang terletak di daerah Dago, Bandung. Curug ini menawarkan pesona alam yang memukau dengan air terjun yang mengalir deras dari ketinggian, menghasilkan gemuruh air yang menenangkan. Pengunjung dapat menikmati suasana alami yang segar dengan hamparan pepohonan hijau yang mengelilingi curug. Terdapat jembatan gantung yang memungkinkan pengunjung untuk melintasi dan mendapatkan pemandangan dekat dengan air terjun yang spektakuler. ",-6.8655225,107.6181878
96,Curug Tilu Leuwi Opat,Alam,Bandung,"Ciwangun Indah, Cihanjuang Rahayu, Parongpong, Kabupaten Bandung Barat","Curug Tilu Leuwi Opat, juga dikenal sebagai Curug Tilu atau Curug Opat, adalah sebuah serangkaian air terjun yang terletak di daerah Lembang, Bandung. Nama ""Tilu Leuwi Opat"" berasal dari bahasa Sunda yang berarti ""tiga dan empat kolam"" mengacu pada tiga kolam yang terbentuk oleh air terjun ini. Curug Tilu Leuwi Opat menawarkan pemandangan yang menakjubkan dengan aliran air yang deras, jatuh dari ketinggian dan membentuk kolam-kolam yang indah. Pengunjung dapat menikmati keindahan alam di sekitar curug, dengan hutan hijau yang memenuhi lingkungan sekitarnya. Terdapat jalur pendakian dan trekking yang dapat diikuti untuk menjelajahi area sekitar Curug Tilu Leuwi Opat",-6.7905692,107.5826388
97,Bukit Jamur Ciwidey,Alam,Bandung,"Sugihmukti, Pasirjambu, Kabupaten Bandung","Bukit Jamur Ciwidey adalah salah satu destinasi wisata yang terletak di daerah Ciwidey, Bandung. Seperti namanya, bukit ini terkenal dengan formasi batu yang menyerupai jamur yang tersebar di sekitar bukit. Pemandangan yang unik dan indah membuat Bukit Jamur Ciwidey menjadi tempat yang menarik untuk dikunjungi. Pengunjung dapat menikmati keindahan alam, udara segar, dan panorama yang memukau di sekitar bukit. Selain itu, bukit ini juga menjadi tempat yang populer untuk menikmati matahari terbit atau terbenam dengan latar belakang keindahan alam yang menakjubkan. Terdapat jalur pendakian yang memungkinkan para pengunjung untuk menjelajahi bukit ini dan menikmati pemandangan yang lebih dekat.",-7.1951102,107.4312811
98,Wisata Batu Kuda,Alam,Bandung,"Cibiru Wetan, Cileunyi, Kabupaten Bandung","Wisata Batu Kuda, juga dikenal sebagai Batu Kuda Park, adalah sebuah destinasi wisata yang terletak di daerah Lembang, Bandung. Tempat ini mempunyai daya tarik utama berupa formasi batu yang menyerupai sosok kuda yang sedang berlari. Batu Kuda menjadi objek foto yang populer di kalangan pengunjung, terutama untuk mendapatkan gambar yang unik dan kreatif. Selain itu, di sekitar area Batu Kuda terdapat taman hijau yang menyajikan pemandangan alam yang indah dan udara segar pegunungan. Pengunjung juga dapat menikmati aktivitas rekreasi di area ini, seperti berjalan-jalan santai, piknik, atau bersantai sambil menikmati keindahan alam sekitar",-6.8936106,107.7447399
99,Ciwangun Indah Camp Official,Alam,Bandung,"Jl. Kolonel Masturi, Cihanjuang Rahayu, Kec. Parongpong, Kabupaten Bandung Barat","Ciwangun Indah Camp Official adalah sebuah tempat rekreasi dan perkemahan yang resmi yang terletak di daerah Ciwangun, Kabupaten Bandung. Tempat ini menawarkan pengalaman unik berupa kemah di tengah alam yang indah dan segar. Ciwangun Indah Camp Official memiliki berbagai fasilitas yang mencakup area perkemahan, tempat berkumpul, area BBQ, dan kolam renang alami. Pengunjung dapat menikmati kegiatan seperti berkemah, memasak di area BBQ, berenang, atau sekadar bersantai menikmati suasana alam yang tenang. Selain itu, Ciwangun Indah Camp Official juga menawarkan pemandangan alam yang menakjubkan, dengan perbukitan hijau, sungai yang mengalir, dan udara segar pegunungan",-6.786939,107.5837331
100,Curug Batu Templek Cisanggarung,Alam,Bandung,"Kp.Sentakdulang Cikored, Mekarmanik, Kec. Cimenyan, Kabupaten Bandung","Curug Batu Templek Cisanggarung adalah sebuah air terjun yang terletak di daerah Cisanggarung, Kabupaten Bandung. Air terjun ini menawarkan pesona alam yang memukau dengan aliran air yang jatuh dari ketinggian dan membentuk kolam di bawahnya. Curug Batu Templek Cisanggarung dikelilingi oleh pemandangan alam yang hijau dan sejuk, dengan pepohonan yang rimbun dan udara segar pegunungan. Pengunjung dapat menikmati suara gemuruh air terjun dan merasakan keindahan alam yang alami di sekitarnya. Terdapat jalur pendakian yang dapat diikuti untuk mencapai Curug Batu Templek Cisanggarung",-6.8743633,107.6844023
101,Caringin Tilu,Alam,Bandung,"Jl. Padasuka Atas, Cimenyan, Kec. Cimenyan, Kabupaten Bandung","Caringin Tilu adalah sebuah desa yang terletak di Kecamatan Cimenyan, Kabupaten Bandung. Desa ini dikenal karena keindahan alamnya yang memikat dan suasana pedesaan yang tenang. Caringin Tilu menawarkan pemandangan yang memukau dengan perbukitan hijau yang mengelilingi desa dan sawah yang terhampar luas. Pengunjung dapat menikmati udara segar pegunungan dan merasakan kehidupan desa yang sederhana. Desa ini juga memiliki potensi wisata alam yang menarik, seperti air terjun, kebun teh, dan trekking di hutan sekitar",-6.8580464,107.6647084
102,Bukit Bintang,Alam,Bandung,"Cimenyan, Kec. Cimenyan, Kabupaten Bandung","Bukit Bintang adalah sebuah tempat wisata yang terletak di daerah Lembang, Bandung. Seperti namanya, Bukit Bintang menawarkan pemandangan yang indah dan spektakuler, terutama saat matahari terbenam. Dari puncak bukit, pengunjung dapat menyaksikan panorama luar biasa dari ketinggian, dengan hamparan perbukitan hijau, pesawahan, dan kota Bandung yang terlihat di kejauhan.",-6.8417795,107.6768585
103,Curug Bugbrug,Alam,Bandung,"Kertawangi, Cisarua, Kabupaten Bandung Barat","Curug Bugbrug adalah sebuah air terjun yang terletak di Kabupaten Bandung. Air terjun ini menawarkan pesona alam yang memukau dengan aliran air yang jatuh dari ketinggian, membentuk pancuran air yang indah di tengah hutan hijau. Curug Bugbrug dikelilingi oleh keindahan alam yang alami, dengan pepohonan yang rimbun dan udara segar pegunungan. ",-6.790389,107.5777632
104,Babakan Siliwangi City Forest Path Bandung,Alam,Bandung,"Jl. Tamansari No.90, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung","Babakan Siliwangi City Forest Path adalah sebuah jalur wisata alam yang terletak di Kota Bandung. Jalur ini menghubungkan beberapa kawasan hijau di sekitar hutan kota Babakan Siliwangi, menciptakan pengalaman berjalan-jalan yang menyegarkan di tengah pepohonan dan udara segar. City Forest Path menawarkan jalur yang nyaman dan terawat dengan pemandangan yang indah, melewati hutan, danau, dan taman-taman yang hijau. Pengunjung dapat menikmati keindahan alam, mendengarkan suara burung dan aliran air, serta merasakan kedamaian dan ketenangan di tengah kesibukan kota. Jalur ini juga cocok untuk berolahraga ringan seperti jogging, bersepeda, atau hanya sekadar bersantai sambil menikmati keindahan alam sekitar",-6.8853746,107.6111899
105,Curug Cipanas,Alam,Bandung,"Jl. Nagrak Tengah, Sukajaya, Kec. Lembang, Kabupaten Bandung Barat","Curug Cipanas adalah sebuah air terjun yang terletak di Kabupaten Bandung. Air terjun ini menawarkan keindahan alam yang memukau dengan aliran air yang jatuh dari ketinggian dan membentuk kolam di bawahnya. Curug Cipanas dikelilingi oleh pemandangan alam yang hijau dan segar, dengan pepohonan yang rimbun dan udara yang sejuk. Pengunjung dapat menikmati suara gemuruh air terjun dan merasakan kesegaran air yang jatuh. Curug Cipanas juga menjadi tujuan favorit bagi mereka yang mencari kegiatan rekreasi alam, seperti berenang di kolam alami atau sekadar bersantai di sekitar air terjun.",-6.7991958,107.5922088
106,Curug Cilengkrang,Alam,Bandung,"Cilengkrang, Kabupaten Bandung","Curug Cilengkrang adalah sebuah air terjun yang terletak di Kabupaten Bandung. Air terjun ini menawarkan pesona alam yang memukau dengan aliran air yang jatuh dari ketinggian, membentuk kolam di bawahnya. Curug Cilengkrang dikelilingi oleh pemandangan alam yang hijau dan segar, dengan pepohonan yang rimbun dan udara pegunungan yang sejuk. Terdapat juga jalur pendakian yang dapat diikuti untuk menjelajahi sekitar air terjun dan menikmati pemandangan alam yang menakjubkan",-6.8908877,107.7307085
107,Curug Aseupan,Alam,Bandung,"Cihanjuang Rahayu, Parongpong, Kabupaten Bandung Barat","Curug Aseupan juga dikenal sebagai Curug Asupan  adalah sebuah air terjun yang menawarkan keindahan alam yang menakjubkan dengan aliran air yang jatuh dari ketinggian dan membentuk pancuran air yang indah di tengah hutan hijau. Curug Aseupan dikelilingi oleh suasana alam yang tenang dan sejuk, dengan pepohonan yang rimbun dan suara aliran air yang menenangkan. Pengunjung dapat menikmati pemandangan yang indah, merasakan udara segar pegunungan, dan merelaksasi diri di sekitar air terjun. ",-6.7875652,107.5822844
108,Curug Anom,Alam,Bandung,"Kertawangi, Cisarua, Kabupaten Bandung Barat","Curug Anom adalah sebuah air terjun yang terletak di daerah Cisarua, Kabupaten Bandung. Air terjun ini menawarkan keindahan alam yang menakjubkan dengan aliran air yang jatuh dari ketinggian, membentuk pancuran air yang indah di tengah pepohonan hijau yang rimbun. Curug Anom dikelilingi oleh suasana alam yang tenang dan segar, dengan udara pegunungan yang sejuk. Terdapat juga area sekitar air terjun yang cocok untuk berfoto atau bersantai. Jalur pendakian yang tersedia juga memungkinkan pengunjung untuk menjelajahi sekitar air terjun dan menikmati keindahan alam yang alami",-6.8116009,107.5695213
109,Sendang Geulis Kahuripan,Alam,Bandung,"Ganjarsari, Cikalong Timur, Kabupaten Bandung Barat","Sendang Geulis Kahuripan adalah sebuah destinasi wisata alam yang terletak di Kabupaten Bandung. Sendang Geulis Kahuripan dikenal karena keindahan mata air alaminya yang jernih dan segar. Destinasi ini menawarkan pemandangan alam yang memesona dengan air yang mengalir dari tebing dan membentuk kolam alami yang indah. Airnya yang bening dan sejuk mengundang pengunjung untuk berenang atau sekadar merendam kaki sambil menikmati suasana tenang. Selain itu, kawasan sekitar Sendang Geulis Kahuripan juga dikelilingi oleh hijaunya pepohonan dan tanaman yang memberikan nuansa alami dan nyaman. ",-6.7495268,107.478658
110,Sanghyang Heuleut,Alam,Bandung,"Kp, Cipanas, Rajamandala Kulon, Kec. Cipatat, Kabupaten Bandung Barat","Sanghyang Heuleut adalah sebuah danau yang memiliki keunikan karena terbentuk dari letusan gunung berapi yang terjadi ribuan tahun yang lalu. Danau Sanghyang Heuleut terkenal karena airnya yang berwarna hijau kebiruan yang memukau, serta keindahan alam di sekitarnya. Destinasi ini menjadi tempat yang populer bagi para pengunjung yang ingin menikmati keindahan alam, berfoto-foto, atau bahkan melakukan kegiatan seperti berkemah atau piknik",-6.8765131,107.3422183
111,Situ Cileunca,Alam,Bandung,"Desa Wanasari, Kecamatan Pandegelang, Bandung","Situ Cileunca merupakan obyek wisata yang terletak di Pangalengan, Bandung, Jawa Barat. Kawasan wisata ini merupakan danau buatan dengan luas 1.400 hektar yang dikelilingi bukit dengan latar belakang pegunungan. Sumber air Situ Cileunca berasal dari Situ Panunjang yang ukurannya lebih besar dari Situ Cileunca. Selain berfungsi sebagai obyek wisata, Situ Cileunca juga sebagai sumber air untuk pembangkit tenaga listrik. Dari danau, air dialirkan melalui Sungai Palayangan, yang sering digunakan sebagai arena arung jeram.",-7.191459272,107.5502119
112,Sunrise Point Cukul,Alam,Bandung,"Jl. Cukul, Sukaluyu, Kec. Pangalengan, Kabupaten Bandung","Sunrise Point Cukul adalah sebuah lokasi yang terletak di daerah Cukul, Kabupaten Bandung. Tempat ini terkenal karena pemandangan matahari terbit yang memukau yang dapat dinikmati dari titik tertentu di lokasi tersebut. Saat matahari mulai muncul di cakrawala, pengunjung dapat menyaksikan keindahan alam yang menakjubkan dengan langit yang terang dan pemandangan pegunungan yang mempesona. Keindahan alam yang dipadukan dengan warna-warni langit saat matahari terbit menciptakan momen yang sangat indah dan fotogenik. Sunrise Point Cukul juga menawarkan area yang nyaman untuk duduk atau berdiri sambil menikmati pemandangan alam yang spektakuler. ",-7.233689,107.5342933
113,Perkebunan Teh Malabar,Alam,Bandung,"Banjarsari, Pangalengan, Bandung Regency","Perkebunan Teh Malabar adalah sebuah perkebunan teh yang terletak di Kabupaten Bandung. Perkebunan ini terkenal karena produksi teh yang berkualitas tinggi dan pemandangan alam yang indah. Pengunjung dapat menjelajahi perkebunan ini dan melihat proses budidaya teh, mulai dari perkecambahan bibit teh hingga panen daun teh yang siap diproses. Selain itu, perkebunan ini juga menawarkan pemandangan perbukitan yang hijau dan terasering yang menakjubkan, menciptakan lanskap yang memesona. Pengunjung dapat berjalan-jalan di antara kebun teh yang rapi dan menikmati udara segar yang berasal dari ketinggian. Terdapat juga area wisatawan yang menyediakan tempat bersantai dan menikmati segelas teh segar di tengah pemandangan yang menenangkan.",-7.2274463,107.6050805
114,Curug Luhur Waterfall,Alam,Bandung,"Jl. Barukisu Kp. Gandok, Suntenjaya, Kec. Lembang, Kabupaten Bandung Barat","Curug Luhur Waterfall adalah sebuah air terjun yang terletak di daerah Lembang, Bandung. Air terjun ini menawarkan pemandangan alam yang memukau dengan air yang mengalir deras dari ketinggian dan jatuh ke kolam di bawahnya. Pengunjung dapat menikmati suara gemuruh air terjun yang menenangkan sambil menikmati keindahan alam sekitar. Terdapat jalur pendakian yang mengarah ke air terjun, yang memungkinkan para pengunjung untuk mendapatkan pengalaman yang lebih dekat dengan keindahan alam tersebut. Curug Luhur Waterfall juga dikelilingi oleh pepohonan hijau yang menjadikan suasana sejuk dan segar. ",-6.8131767,107.7136367
115,Curug Malela,Alam,Bandung,"Kampung Manglid, Desa Cicadas, Kecamatan Rongga, Kabupaten Bandung.","Curug Malela adalah salah satu objek wisata alam yang populer di Bandung Barat. Curug ini mempunyai ketinggian sekitar 60 meter dengan lebar yang mencapai 70 meter. Dengan ukuran yang dimiliki, curug ini menjadi salah satu air terjun terbesar di Jawa Barat. Dan karena bentuknya yang lebar, membuatnya dikenal juga dengan julukan the Little Niagara.",-7.0182386,107.2072145
116,Situ Patenggang,Alam,Bandung,"Jl. Ciwidey Ranca Bali, Desa Patengan, Ranca Bali, Bandung","Situ Patenggang adalah sebuah danau yang terletak di daerah Ciwidey, Bandung. Danau ini menawarkan pemandangan yang indah dengan air yang jernih dan dikelilingi oleh perbukitan hijau yang mempesona. Pengunjung dapat menikmati keindahan danau dengan menyusuri perahu atau berjalan-jalan di sekitar danau sambil menikmati udara segar dan panorama alam yang menakjubkan. Terdapat juga pulau kecil di tengah danau yang dapat dijangkau dengan perahu. Destinasi ini cocok untuk berbagai aktivitas seperti piknik, berlayar, atau sekadar bersantai menikmati keindahan alam.",-7.1669649,107.3575344
117,Kawah Rengganis Cibuni,Alam,Bandung,"Desa Patengan, Rancabali, Kabupaten Bandung","Kawah Rengganis Cibuni adalah salah satu objek wisata alam yang terletak di daerah Kabupaten Bandung. Kawah ini menawarkan pemandangan yang spektakuler dengan lanskap yang unik dan indah. Kawah Rengganis Cibuni terbentuk dari aktivitas vulkanik yang menghasilkan formasi tanah berwarna-warni dan kawah yang mengeluarkan uap panas. Pengunjung dapat menjelajahi kawah ini dan menyaksikan secara langsung fenomena alam yang menakjubkan. Di sekitar kawah, terdapat jalur pendakian yang memungkinkan para pengunjung untuk mendapatkan pandangan yang lebih dekat dengan keindahan kawah ini. Kawah Rengganis Cibuni juga dikelilingi oleh hamparan kebun teh yang hijau, menambah pesona alam di sekitarnya",-7.1724126,107.3766656
118,Gua Pawon,Alam,Bandung,"Kp. Cibukur, Gunungmasigit, Kec. Cipatat, Kabupaten Bandung Barat","Gua Pawon adalah situs gua alami yang terdapat di Bandung. Gua ini memiliki panjang sekitar 38 meter dengan lebar 16 meter.Gua Pawon menawarkan pengalaman petualangan menelusuri gua yang indah dan memiliki formasi stalaktit dan stalakmit yang menakjubkan. Pengunjung dapat menjelajahi lorong-lorong gua yang terbentuk secara alami, mengagumi keindahan batu-batu yang terbentuk dari jutaan tahun yang lalu, dan merasakan suasana misterius di dalamnya. ",-6.822927625,107.4371011
119,Bukit Gantole Cililin,Alam,Bandung,"Singajaya, Cihampelas, Kabupaten Bandung Barat","Bukit Gantole Cililin adalah sebuah bukit yang terletak di Cililin, Bandung Barat, Indonesia. Tempat ini menawarkan pemandangan alam yang indah dan panorama yang memukau. Bukit Gantole Cililin terkenal karena kemiringannya yang curam dan ditumbuhi oleh pepohonan hijau yang rimbun, menciptakan suasana yang sejuk dan menenangkan. Pengunjung dapat melakukan pendakian ke puncak bukit untuk menikmati panorama luas kota Bandung dan hamparan pegunungan yang memukau. Selain itu, Bukit Gantole Cililin juga menjadi tempat populer untuk aktivitas seperti camping, hiking, dan foto-foto karena keindahan alamnya.",-6.958646897,107.471304
120,Oray Tapa,Alam,Bandung,"Mekarmanik, Cimenyan, Kabupaten Bandung",Oray Tapa adalah kalimat dari Bahasa Sunda yang jika diartikan dalam Bahasa Indonesia artinya adalah “Ular bertapa”. Pemberian nama ini karena jalan di kawasan ini meliuk-liuk seperti ular yang tengah bertapa. Oray Tapa berada di atas puncak gunung Manglayang di ketinggian 700 mdpl. Areanya penuh dengan tanaman pinus dan cemara bersama luas area total sekitar 5 hektar.,-6.857063251,107.6931224
121,Batu Kuda Manglayang Campground,Alam,Bandung,"Cibiru Wetan, Cileunyi, Kabupaten Bandung","Batu Kuda adalah sebuah situs wisata alam di Kabupaten Bandung di mana lokasinya ada di ketinggian 1150-1300 mdpl. Sebagian besar areanya berupa perbukitan yang ditumbuhi hutan pinus. Batu Kuda Manglayang Campground menawarkan pemandangan yang indah, udara segar, dan lingkungan yang tenang. Pengunjung dapat memasang tenda di area perkemahan yang disediakan dan menikmati malam hari dengan suasana alam yang damai",-6.892655762,107.7451455
122,Curug Cinulang,Alam,Bandung,"Jl. Cicalengka Sindang Wangi No.km.07, Tanjungwangi, Kec. Cicalengka, Kabupaten Bandung","Curug Cinulang adalah curug dengan ketinggian 50–60 m. Curug Cinulang menawarkan pemandangan yang indah dengan air terjun yang mengalir deras dari tebing batu, menciptakan suasana yang segar dan menenangkan. Air terjun ini dikelilingi oleh hutan hijau yang memperkuat keindahan alamnya. Pengunjung dapat menikmati keindahan alam, berfoto-foto, atau bahkan mandi di kolam air terjun yang terbentuk di bawahnya.",-6.9626051,107.8815317
123,Curug Eti,Alam,Bandung,"Loa, Kec. Paseh, Kabupaten Bandung","Curug Eti adalah air terjun di Kampung Walahir, Desa Loa, Kecamatan Paseh, Kabupaten Bandung. Curug Eti menawarkan pemandangan yang indah dengan air terjun yang mengalir dari tebing batu ke dalam kolam yang terbentuk di bawahnya. Keindahan alam sekitar dan suara gemericik air terjun menciptakan suasana yang menenangkan dan menyegarkan.",-7.085790314,107.7987203
124,Situ Cisanti,Alam,Bandung,"Tarumajaya, Kec. Kertasari, Kabupaten Bandung","Situ Cisanti adalah sebuah danau buatan yang terletak di Desa Cisanti, Kecamatan Cimenyan, Kabupaten Bandung, Jawa Barat, Indonesia. Situ ini sering dijadikan sebagai tempat wisata dan rekreasi bagi pengunjung yang ingin menikmati keindahan alam danau yang tenang. Situ Cisanti memiliki air yang jernih dan dikelilingi oleh pemandangan alam yang hijau, termasuk pepohonan dan perbukitan. Pengunjung dapat menikmati berjalan-jalan di sekitar danau, menyewa perahu untuk berkeliling, atau beristirahat di tepi danau sambil menikmati pemandangan yang menenangkan.",-7.208351935,107.6577966
125,Gunung Puntang,Alam,Bandung,"Mekarjaya, Kec. Banjaran, Kabupaten Bandung","Gunung Puntang adalah sebuah gunung yang terletak di Kabupaten Bandung Barat, Jawa Barat, Indonesia. Dengan ketinggian sekitar 1.989 meter di atas permukaan laut, gunung ini menawarkan pemandangan alam yang indah dan trek pendakian yang menantang. Gunung Puntang dikelilingi oleh hutan tropis yang rimbun dan memiliki berbagai jenis flora dan fauna endemik. Pendakian ke puncak Gunung Puntang akan mempersembahkan pemandangan spektakuler dari atas, termasuk panorama pegunungan, lembah, dan kota-kota di sekitarnya",-7.116613475,107.6207595
126,Perkebunan Teh Rancabali,Alam,Bandung,"Patengan, Kec. Rancabali, Kabupaten Bandung","Perkebunan Teh Rancabali adalah sebuah perkebunan teh yang terletak di daerah Rancabali, Kabupaten Bandung. Perkebunan ini merupakan salah satu destinasi wisata yang populer di Bandung, terutama bagi pengunjung yang tertarik dengan proses produksi teh dan ingin menikmati keindahan alam perkebunan teh. Perkebunan Teh Rancabali memiliki luas yang cukup luas dan dikelilingi oleh pemandangan alam yang indah, seperti perbukitan hijau dan kebun teh yang terhampar luas. Pengunjung dapat menjelajahi perkebunan, melihat proses panen dan pengolahan teh, serta mengunjungi pabrik pengolahan teh untuk memahami seluk-beluk produksi teh. Selain itu, terdapat juga fasilitas seperti restoran atau kedai teh, di mana pengunjung dapat menikmati secangkir teh segar sambil menikmati pemandangan perkebunan",-7.150505354,107.3813425
127,Kawah Cibuni,Alam,Bandung,"Patengan, Rancabali, Kabupaten Bandung","Kawah Cibuni adalah sebuah kawah vulkanik yang terletak di daerah Rancabali, Kabupaten Bandung, Jawa Barat. Kawah ini merupakan salah satu tujuan wisata alam yang populer di wilayah Bandung dengan keunikan dan pesona sendiri dengan pemandangan alam yang indah dan fenomena geologi yang menarik. Kawah ini ditandai oleh adanya lubang berbentuk kawah yang dalam dan luas, dengan hamparan tanah berwarna kecoklatan atau abu vulkanik yang menciptakan suasana eksotis. Pengunjung dapat menjelajahi kawah dan menikmati keindahan alam sekitar, serta melihat perubahan bentuk tanah yang disebabkan oleh aktivitas vulkanik",-7.17219266,107.3766768
128,Masigit Kareumbi,Alam,Bandung,"Desa Leuwiliang, Tanjungwangi, Cicalengka, Tanjungwangi, Kec. Cicalengka, Kabupaten Bandung","Masigit Kareumbi adalah sebuah gunung yang terletak di wilayah Bandung, Jawa Barat, Indonesia. Gunung ini memiliki ketinggian sekitar 2.200 meter di atas permukaan laut dan terletak di kawasan Ciwidey, Kabupaten Bandung. Gunung Masigit Kareumbi menawarkan pengalaman pendakian yang menarik dengan pemandangan alam yang spektakuler.Pendakian Gunung Masigit Kareumbi akan membawa Anda melewati jalur yang cukup menantang, dengan medan yang beragam, seperti hutan lebat, tebing curam, dan punggungan yang terjal.Selain pendakian, Gunung Masigit Kareumbi juga memiliki beberapa air terjun yang indah",-6.951507645,107.9172924
129,Curug Cipanji,Alam,Bandung,"Margamulya, Kec. Pasirjambu, Kabupaten Bandung","Curug Cipanji adalah sebuah air terjun yang terkenal karena keindahan alamnya dan menjadi tujuan populer bagi para pecinta alam dan penggemar petualangan. Curug Cipanji memiliki ketinggian sekitar 60 meter dan dikelilingi oleh hutan yang hijau dan alam yang segar. Air terjun ini terdiri dari beberapa tingkatan, dengan aliran air yang jatuh ke kolam yang indah di bawahnya. Pemandangan air terjun yang spektakuler dan suara gemericik air yang menenangkan menciptakan suasana yang menakjubkan bagi pengunjung. Curug Cipanji juga dikelilingi oleh pepohonan yang rimbun, sehingga memberikan udara segar dan suasana yang sejuk. Tempat ini juga sering menjadi tempat piknik atau bersantai sambil menikmati keindahan alam sekitarnya",-7.144778791,107.461689
130,Lawang Pinus,Alam,Bandung,"Cimenyan, Kec. Cimenyan, Kabupaten Bandung","Lawang Pinus adalah sebuah destinasi wisata yang terkenal dengan hamparan pohon pinus yang indah dan suasana alam yang menenangkan. Lawang Pinus menjadi tujuan favorit bagi para pengunjung yang ingin menikmati udara segar dan keindahan alam sambil bersantai. Di Lawang Pinus, pengunjung dapat berjalan-jalan di antara pepohonan pinus yang tinggi, yang menciptakan suasana yang menenangkan dan menyejukkan. Ada juga berbagai spot foto menarik yang disediakan di dalam kompleks Lawang Pinus. Selain itu, Lawang Pinus juga menyediakan fasilitas seperti taman bermain anak, tempat duduk, dan area piknik. ",-7.057299194,107.849802
131,Gunung Singa,Alam,Bandung,"Buninagara, Kec. Kutawaringin, Kabupaten Bandung","Gunung Singa merupakan fosil dari sebuah gunung api purba, atau sebuah gunung api pada jutaan tahun lalu yang sekarang sudah tidak aktif lagi. Gunung Singa terdapat di Kampung Campaka, bagian dari wilayah administratif Desa Buninagara, Kecamatan Kutawaringin, Kabupaten Bandung. Puncak Gunung Singa memiliki ketinggian 1.033 MDPL",-7.016565995,107.4983532
